prefecture,earliest_year,latest_year,coverage_years
三重県,2010.0,2025.0,16
京都府,2006.0,2025.0,20
佐賀県,2025.0,2025.0,1
兵庫県,2018.0,2025.0,8
北海道,,,0
千葉県,2022.0,2025.0,4
和歌山県,,,0
埼玉県,2011.0,2025.0,15
大分県,2023.0,2025.0,3
大阪府,2000.0,2025.0,26
奈良県,,,0
宮城県,2004.0,2025.0,22
宮崎県,2017.0,2025.0,9
富山県,2024.0,2025.0,2
山口県,2000.0,2025.0,26
山形県,2020.0,2025.0,6
山梨県,2011.0,2025.0,15
岐阜県,2021.0,2025.0,5
岡山県,2008.0,2025.0,18
岩手県,2022.0,2025.0,4
島根県,2015.0,2025.0,11
広島県,2003.0,2025.0,23
徳島県,2007.0,2025.0,19
愛媛県,2021.0,2025.0,5
愛知県,2005.0,2025.0,21
新潟県,2015.0,2025.0,11
東京都,1970.0,2015.0,46
栃木県,2009.0,2025.0,17
沖縄県,2005.0,2025.0,21
滋賀県,2025.0,2025.0,1
熊本県,2010.0,2025.0,16
石川県,2017.0,2025.0,9
神奈川県,2014.0,2025.0,12
福井県,2024.0,2025.0,2
福岡県,2025.0,2025.0,1
福島県,2013.0,2025.0,13
秋田県,2014.0,2025.0,12
群馬県,2020.0,2025.0,6
茨城県,2005.0,2025.0,21
長崎県,2004.0,2025.0,22
長野県,2020.0,2025.0,6
青森県,2024.0,2024.0,1
静岡県,2001.0,2025.0,25
香川県,2000.0,2025.0,26
高知県,2025.0,2025.0,1
鳥取県,2005.0,2025.0,21
鹿児島県,2024.0,2025.0,2
